year2,ifsize,fage4,firms,estabs,emp,denom,estabs_entry,estabs_entry_rate,estabs_exit,estabs_exit_rate,job_creation,job_creation_births,job_creation_continuers,job_creation_rate_births,job_creation_rate,job_destruction,job_destruction_deaths,job_destruction_continuers,job_destruction_rate_deaths,job_destruction_rate,net_job_creation,net_job_creation_rate,reallocation_rate,d_flag,firmdeath_firms,firmdeath_estabs,firmdeath_emp
1977,a) 1 to 4,a) 0,406674,407784,743494,378892,399033,195.7,0,0,729204,729204,0,192.5,192.5,0,0,0,0,0,729204,192.5,0,0,,,
1977,a) 1 to 4,l) Left Censored,1615507,1619288,4081869,4049932,1516,0.1,332053,18.5,996526,7880,988646,0.2,24.6,932651,594645,338006,14.7,23,63875,1.6,46,0,249288,249436,458021
1977,b) 5 to 9,a) 0,84628,89903,548522,278107,88685,197.3,0,0,540830,540830,0,194.5,194.5,0,0,0,0,0,540830,194.5,0,0,,,
1977,b) 5 to 9,l) Left Censored,589960,601562,4101096,4199235,3944,0.6,70205,11,714814,37321,677493,0.9,17,911091,438735,472356,10.4,21.7,-196277,-4.7,34,0,53379,53735,345655
1977,c) 10 to 19,a) 0,42323,53759,563509,285561,53109,197.6,0,0,555897,555897,0,194.7,194.7,0,0,0,0,0,555897,194.7,0,0,,,
1977,c) 10 to 19,l) Left Censored,342778,368858,4778939,4918212,7554,2,40861,10.6,737698,41068,696630,0.8,15,1016243,487944,528299,9.9,20.7,-278545,-5.7,30,0,27190,27698,362914
1977,d) 20 to 49,a) 0,22424,37157,660524,334532,36781,198,0,0,651985,651985,0,194.9,194.9,0,0,0,0,0,651985,194.9,0,0,,,
1977,d) 20 to 49,l) Left Censored,204453,256863,6489258,6595366,11701,4.4,27053,10.2,1094952,102162,992790,1.5,16.6,1307167,625690,681477,9.5,19.8,-212215,-3.2,33.2,0,15037,15603,447224
1977,e) 50 to 99,a) 0,5796,13040,391043,198481,12933,198.4,0,0,385125,385125,0,194,194,0,0,0,0,0,385125,194,0,0,,,
1977,e) 50 to 99,l) Left Censored,63511,110767,4547402,4593943,8854,8,9940,8.9,771476,111742,659734,2.4,16.8,864557,401741,462816,8.7,18.8,-93081,-2,33.6,0,3963,4256,266926
1977,f) 100 to 249,a) 0,2373,7915,348726,176469,7870,198.9,0,0,344514,344514,0,195.2,195.2,0,0,0,0,0,344514,195.2,0,0,,,
1977,f) 100 to 249,l) Left Censored,31849,95716,5032447,5009966,9604,10.2,7469,7.9,928408,199359,729049,4,18.5,883446,386476,496970,7.7,17.6,44962,0.9,35.2,0,1553,1806,227250
1977,g) 250 to 499,a) 0,477,2624,162677,82705,2616,199.4,0,0,159945,159945,0,193.4,193.4,0,0,0,0,0,159945,193.4,0,0,,,
1977,g) 250 to 499,l) Left Censored,9013,56239,3080047,3114093,5970,10.8,4001,7.3,472584,145551,327033,4.7,15.2,540675,231269,309406,7.4,17.4,-68091,-2.2,30.4,0,335,415,113247
1977,h) 500 to 999,a) 0,138,1342,93532,47137,1341,199.9,0,0,92791,92791,0,196.9,196.9,0,0,0,0,0,92791,196.9,0,0,,,
1977,h) 500 to 999,l) Left Censored,4454,48481,3065598,3011091,4924,10.4,3229,6.8,451006,124708,326298,4.1,15,341992,81376,260616,2.7,11.4,109014,3.6,22.8,1,1,3,
1977,i) 1000 to 2499,a) 0,66,748,94851,47904,744,198.9,0,0,93895,93895,0,196,196,0,0,0,0,0,93895,196,0,0,,,
1977,i) 1000 to 2499,l) Left Censored,2785,68869,4203838,4114926,8186,12.1,5741,8.5,636222,212818,423404,5.2,15.5,458397,114958,343439,2.8,11.1,177825,4.4,22.2,1,2,15,
1977,j) 2500 to 4999,a) 0,9,172,29722,16178,171,198.8,0,0,27089,27089,0,167.4,167.4,0,0,0,0,0,27089,167.4,0,0,,,
1977,j) 2500 to 4999,l) Left Censored,981,56724,3237255,3165613,5793,10.4,3547,6.4,512320,203553,308767,6.4,16.2,369035,77749,291286,2.5,11.7,143285,4.5,23.4,0,,,
1977,k) 5000 to 9999,a) 0,1,82,,,82,200,0,0,,,,,,,,,,,,,,1,,,
1977,k) 5000 to 9999,l) Left Censored,616,46250,,,4494,9.9,3402,7.5,,,,,,,,,,,,,,1,,,
1977,l) 10000+,a) 0,7,196,,,196,200,0,0,,,,,,,,,,,,,,1,,,
1977,l) 10000+,l) Left Censored,786,209453,,,21648,10.4,18509,8.9,,,,,,,,,,,,,,1,,,
1978,a) 1 to 4,a) 0,363201,363461,676203,341184,359383,197.8,0,0,670039,670039,0,196.4,196.4,0,0,0,0,0,670039,196.4,0,0,,,
1978,a) 1 to 4,b) 1,285076,286744,874945,805171,714,0.2,116586,33.6,383236,4483,378753,0.6,47.6,243687,197156,46531,24.5,30.3,139549,17.3,60.6,0,85372,85377,146224
1978,a) 1 to 4,l) Left Censored,1381132,1384295,3823438,3593628,40981,2.8,242870,16.3,1148070,73595,1074475,2,31.9,688449,458848,229601,12.8,19.2,459621,12.7,38.4,0,180563,180625,342036
1978,b) 5 to 9,a) 0,81058,81433,525053,263635,81086,199.1,0,0,522836,522836,0,198.3,198.3,0,0,0,0,0,522836,198.3,0,0,,,
1978,b) 5 to 9,b) 1,67170,73009,552541,548826,1054,1.3,17400,21.4,172127,5432,166695,1,31.4,164697,108706,55991,19.8,30,7430,1.4,60,0,12848,12871,82229
1978,b) 5 to 9,l) Left Censored,542133,553919,4015847,3946431,9150,1.6,58086,10,856610,58587,798023,1.5,21.7,717778,368216,349562,9.3,18.2,138832,3.5,36.4,0,41627,41827,269697
1978,c) 10 to 19,a) 0,37963,38611,499295,250553,38470,199.3,0,0,497484,497484,0,198.6,198.6,0,0,0,0,0,497484,198.6,0,0,,,
1978,c) 10 to 19,b) 1,34779,46662,555811,558114,1244,2.5,8090,16.1,148830,7295,141535,1.3,26.7,153435,96895,56540,17.4,27.5,-4605,-0.8,53.4,0,5363,5424,70573
1978,c) 10 to 19,l) Left Censored,322622,349472,4746834,4698348,5169,1.4,29418,8.1,852097,56311,795786,1.2,18.1,755124,360188,394936,7.7,16.1,96973,2,32.2,0,19111,19466,253264
1978,d) 20 to 49,a) 0,16770,17776,487634,244523,17729,199.5,0,0,486222,486222,0,198.8,198.8,0,0,0,0,0,486222,198.8,0,0,,,
1978,d) 20 to 49,b) 1,18807,33441,634734,645828,1133,3.2,4711,13.4,148502,8623,139879,1.3,23,170690,102936,67754,15.9,26.4,-22188,-3.4,46,0,2364,2480,68221
1978,d) 20 to 49,l) Left Censored,196723,248798,6405761,6333773,3646,1.4,17461,6.8,1042870,61398,981472,1,16.5,898893,409380,489513,6.5,14.2,143977,2.3,28.4,0,9105,9456,266801
1978,e) 50 to 99,a) 0,3685,4346,247893,124191,4339,199.7,0,0,247404,247404,0,199.2,199.2,0,0,0,0,0,247404,199.2,0,0,,,
1978,e) 50 to 99,b) 1,4920,12322,371236,379236,1224,9.7,1822,14.4,92432,19386,73046,5.1,24.4,108431,63360,45071,16.7,28.6,-15999,-4.2,48.8,0,535,613,35014
1978,e) 50 to 99,l) Left Censored,62236,110494,4571533,4517057,6044,5.4,8410,7.5,744313,91952,652361,2,16.5,635360,271682,363678,6,14.1,108953,2.4,28.2,0,2124,2384,143309
1978,f) 100 to 249,a) 0,1042,1624,150994,75627,1622,199.8,0,0,150735,150735,0,199.3,199.3,0,0,0,0,0,150735,199.3,0,0,,,
1978,f) 100 to 249,b) 1,2010,7764,310937,327618,1107,14.2,1182,15.1,72398,19319,53079,5.9,22.1,105760,61893,43867,18.9,32.3,-33362,-10.2,44.2,0,201,253,29888
1978,f) 100 to 249,l) Left Censored,31968,98415,5092829,5021147,7923,8.1,7650,7.8,846338,166936,679402,3.3,16.9,702974,304301,398673,6.1,14,143364,2.9,28,0,880,1130,128934
1978,g) 250 to 499,a) 0,189,661,64104,32220,660,199.7,0,0,63769,63769,0,197.9,197.9,0,0,0,0,0,63769,197.9,0,0,,,
1978,g) 250 to 499,b) 1,398,2479,149310,154318,342,13.7,387,15.5,40751,13584,27167,8.8,26.4,50766,31045,19721,20.1,32.9,-10015,-6.5,52.8,1,45,79,
1978,g) 250 to 499,l) Left Censored,9087,57311,3222443,3193720,5201,9.2,4225,7.4,538960,124602,414358,3.9,16.9,481513,192904,288609,6,15.1,57447,1.8,30.2,1,193,274,
1978,h) 500 to 999,a) 0,48,223,32964,16482,223,200,0,0,32964,32964,0,200,200,0,0,0,0,0,32964,200,0,0,,,
1978,h) 500 to 999,b) 1,145,1337,96660,96129,258,19.7,205,15.6,22873,9551,13322,9.9,23.8,21811,6781,15030,7.1,22.7,1062,1.1,45.4,0,,,
1978,h) 500 to 999,l) Left Censored,4576,52776,3220877,3187757,4769,9.1,4008,7.7,501423,125229,376194,3.9,15.7,435182,168928,266254,5.3,13.7,66241,2,27.4,0,59,110,41698
1978,i) 1000 to 2499,a) 0,19,263,,,263,200,0,0,,,,,,,,,,,,,,1,,,
1978,i) 1000 to 2499,b) 1,66,757,,,42,5.5,57,7.5,,,,,,,,,,,,,,1,1,7,
1978,i) 1000 to 2499,l) Left Censored,2768,65819,4180415,4141632,5867,9,4822,7.4,614600,181618,432982,4.4,14.8,537035,213385,323650,5.2,13,77565,1.8,26,1,36,62,
1978,j) 2500 to 4999,a) 0,2,30,,,30,200,0,0,,,,,,,,,,,,,,1,,,
1978,j) 2500 to 4999,b) 1,17,213,,,17,8,18,8.4,,,,,,,,,,,,,,1,,,
1978,j) 2500 to 4999,l) Left Censored,1039,59046,3284125,3285426,4922,8.4,4014,6.9,462712,138375,324337,4.2,14.1,465314,173691,291623,5.3,14.2,-2602,-0.1,28.2,0,10,13,34738
1978,k) 5000 to 9999,b) 1,5,110,17339,17228,20,18.3,18,16.5,1255,,,,7.3,1033,,855,,6,222,1.3,12,1,,,
1978,k) 5000 to 9999,l) Left Censored,579,48982,3501682,3500598,4237,8.8,2789,5.8,487016,,,,13.9,484850,,355295,,13.9,2166,0,27.8,1,2,2,
1978,l) 10000+,b) 1,23,305,41316,87504,8,2.6,14,4.5,4166,,,,4.8,96541,,95860,,110.3,-92375,-105.5,9.6,1,,,
1978,l) 10000+,l) Left Censored,779,219785,17163147,17306554,17936,8.2,14722,6.7,2155918,,,,12.5,2442732,,1886767,,14.1,-286814,-1.6,25,1,3,3,63088
1979,a) 1 to 4,a) 0,348255,348746,662132,334073,344999,197.9,0,0,656118,656118,0,196.4,196.4,0,0,0,0,0,656118,196.4,0,0,,,
1979,a) 1 to 4,b) 1,271565,272154,814942,740419,415,0.1,84947,26.7,346016,2345,343671,0.3,46.7,196969,144578,52391,19.5,26.6,149047,20.1,53.2,0,60412,60414,103731
1979,a) 1 to 4,c) 2,213349,214471,563558,539709,11318,4.8,50413,21.4,185238,20408,164830,3.8,34.3,137540,92115,45425,17.1,25.5,47698,8.8,51,0,35268,35273,64849
1979,a) 1 to 4,l) Left Censored,1182972,1186233,3065542,2973580,33556,2.7,165530,13.2,732370,63830,668540,2.1,24.6,548445,314225,234220,10.6,18.4,183925,6.2,36.8,0,119398,119451,226758
1979,b) 5 to 9,a) 0,84669,85424,550982,276947,84977,199,0,0,548070,548070,0,197.9,197.9,0,0,0,0,0,548070,197.9,0,0,,,
1979,b) 5 to 9,b) 1,67698,68330,523972,522475,349,0.5,12807,17.1,157151,1865,155286,0.4,30.1,154156,82070,72086,15.7,29.5,2995,0.6,59,0,9459,9463,60824
1979,b) 5 to 9,c) 2,71009,75199,506912,510637,2603,3.3,10759,13.5,125068,15782,109286,3.1,24.5,132517,65763,66754,12.9,26,-7449,-1.5,49,0,7063,7077,45640
1979,b) 5 to 9,l) Left Censored,522449,533215,3620195,3631824,9851,1.8,42108,7.7,629976,64241,565735,1.8,17.3,653233,262815,390418,7.2,18,-23257,-0.7,34.6,0,28469,28570,184288
1979,c) 10 to 19,a) 0,41363,42491,543162,272801,42305,199.1,0,0,540722,540722,0,198.2,198.2,0,0,0,0,0,540722,198.2,0,0,,,
1979,c) 10 to 19,b) 1,32164,33089,474493,485043,401,1.1,5626,15.7,124459,3628,120831,0.7,25.7,145559,72890,72669,15,30,-21100,-4.3,51.4,0,4122,4123,54086
1979,c) 10 to 19,c) 2,40038,50253,571690,578517,1712,3.3,6097,11.6,127989,16732,111257,2.9,22.1,141643,65974,75669,11.4,24.5,-13654,-2.4,44.2,0,3227,3264,42439
1979,c) 10 to 19,l) Left Censored,324383,348373,4562219,4563083,6348,1.8,22370,6.3,716017,67821,648196,1.5,15.7,717745,261555,456190,5.7,15.7,-1728,0,31.4,0,13265,13445,175540
1979,d) 20 to 49,a) 0,18168,19626,528273,265323,19541,199.1,0,0,525900,525900,0,198.2,198.2,0,0,0,0,0,525900,198.2,0,0,,,
1979,d) 20 to 49,b) 1,14448,15653,449765,467039,379,2.3,2391,14.3,105608,6137,99471,1.3,22.6,140156,65311,74845,14,30,-34548,-7.4,45.2,0,1654,1671,47694
1979,d) 20 to 49,c) 2,22257,36913,684314,698704,1595,4.2,3750,9.9,136501,22905,113596,3.3,19.5,165280,71542,93738,10.2,23.7,-28779,-4.2,39,0,1404,1435,40387
1979,d) 20 to 49,l) Left Censored,205743,255633,6558696,6483552,5906,2.3,13713,5.3,1036234,86651,949583,1.3,16,885945,297930,588015,4.6,13.7,150289,2.3,27.4,0,6167,6403,180970
1979,e) 50 to 99,a) 0,3775,4637,253431,127026,4627,199.6,0,0,252811,252811,0,199,199,0,0,0,0,0,252811,199,0,0,,,
1979,e) 50 to 99,b) 1,3282,4154,229355,238171,328,7.7,522,12.3,51970,7058,44912,3,21.8,69601,28645,40956,12,29.2,-17631,-7.4,43.6,0,280,295,18914
1979,e) 50 to 99,c) 2,5987,14809,418061,428202,1651,11.2,1598,10.8,88923,22055,66868,5.2,20.8,109204,46650,62554,10.9,25.5,-20281,-4.7,41.6,0,304,337,20375
